category,date_time,headline,link
india," June 6, 2020  10:53:52 am",MP to begin work on Ekal Nagrik Database,https://indianexpress.com/article/india/madhya-pradesh-ekal-nagrik-database-shivraj-singh-chouhan-6445338/
india," June 6, 2020  9:38:52 am",J&K to reopen all offices at full strength starting today,https://indianexpress.com/article/india/jammu-kashmir-offices-covid-lockdown-6445263/
india," June 6, 2020  9:18:21 am",Congress picks veteran Mallikarjun Kharge for RS polls in Karnataka,https://indianexpress.com/article/india/karnataka-rajya-sabha-polls-congress-mallikarjun-kharge-6445099/
india," June 6, 2020  9:16:50 am","Karnataka BJP abuzz with activity ahead of RS, MLC polls",https://indianexpress.com/article/india/karnataka-rajya-sabha-elections-bjp-congress-6445139/
lifestyle," June 4, 2020  5:30:51 pm",Hacks to reheat leftover pizza so it still tastes good,https://indianexpress.com/article/lifestyle/food-wine/hacks-to-reheat-leftover-pizza-6442249/
lifestyle," June 4, 2020  4:40:29 pm",Actor Cara Delevingne says she identifies as pansexual,https://indianexpress.com/article/lifestyle/life-style/actor-cara-delevingne-identifies-as-pansexual-person-6442564/
lifestyle," June 4, 2020  3:50:36 pm",Anushka Sharma’s yellow dress is the ideal summer outfit,https://indianexpress.com/article/lifestyle/fashion/anushka-sharma-yellow-dress-summer-outfit-fashion-6442089/
lifestyle," June 6, 2020  9:13:49 am",Finding it tough to set thick curd? Count on these easy tips,https://indianexpress.com/article/lifestyle/food-wine/set-thick-homemade-curd-easy-tips-summer-curd-rice-yogurt-6375752/
lifestyle," June 4, 2020  2:10:31 pm","Walk while talking on the phone, stand when cooking to stay fit",https://indianexpress.com/article/lifestyle/health/walking-while-talking-on-phone-standing-while-cooking-benefit-mental-health-6439227/
lifestyle," June 4, 2020  6:50:25 pm",Looking for natural ways to remove facial hair? Try this papaya face pack,https://indianexpress.com/article/lifestyle/life-style/looking-for-natural-ways-to-remove-facial-hair-try-this-papaya-face-pack-6438904/
lifestyle," June 4, 2020  12:30:59 pm","Ever made a dish with cactus? Try this simple, healthy sabzi recipe",https://indianexpress.com/article/lifestyle/food-wine/simple-healthy-cactus-sabzi-recipe-benefits-6440780/
sports," June 7, 2020  8:46:37 am","World boxing champion Anthony Joshua attends march, says racism is a pandemic",https://indianexpress.com/article/sports/sport-others/world-boxing-champion-anthony-joshua-attends-march-says-racism-is-a-pandemic-6446680/
lifestyle," June 4, 2020  11:40:58 am",Improve your gut health with these expert tips,https://indianexpress.com/article/lifestyle/health/easy-expert-tips-gut-health-immunity-prebiotics-probiotics-curd-bacteria-6440404/
lifestyle," June 4, 2020  10:50:13 am",Are you reading your recipes right? Find out here,https://indianexpress.com/article/lifestyle/food-wine/how-to-read-a-recipe-tips-6439144/
lifestyle," June 6, 2020  9:18:22 am","World Environment Day 2020: Date, theme, history and significance",https://indianexpress.com/article/lifestyle/life-style/world-environment-day-2020-date-theme-history-and-significance-6441105/
lifestyle," June 4, 2020  11:17:21 am",Alaya F shares tips and tricks to stay productive amid COVID-19 crisis; watch,https://indianexpress.com/article/lifestyle/life-style/alaya-f-tips-tricks-to-stay-productive-covid-19-video-6440882/
lifestyle," June 4, 2020  7:45:44 am","You need a strong, burning desire to win: Leander Paes",https://indianexpress.com/article/lifestyle/life-positive/leander-paes-inspirational-speech-motivation-good-morning-6440541/
lifestyle," June 3, 2020  11:20:22 pm",Care for succulents with these handy tips,https://indianexpress.com/article/lifestyle/life-style/tips-for-maintaining-succulents-6440979/
sports," June 7, 2020  8:28:20 am","Not allowed in stadium, so Barmy Army wants to be heard",https://indianexpress.com/article/sports/england-west-indies-match-barma-army-6446474/
sports," June 8, 2020  10:11:25 am","Before Colin Kaepernick, there was Craig Hodges",https://indianexpress.com/article/sports/basketball/before-colin-kaepernick-there-was-craig-hodges-6446369/
sports," June 7, 2020  8:04:24 am",Darren Sammy alleges racist abuse while playing IPL,https://indianexpress.com/article/sports/cricket/darren-sammy-alleges-racist-abuse-ipl-6446351/
sports," June 6, 2020  11:07:52 pm","Bayern Munich wear Black Lives Matter armbands, keep winning",https://indianexpress.com/article/sports/football/bayern-munich-wear-black-lives-matter-armbands-keep-winning-6446314/
sports," June 7, 2020  11:45:44 am",Darren Sammy expresses fury over racist word used against him in IPL,https://indianexpress.com/article/sports/cricket/darren-sammy-furious-kalu-racist-word-ipl-srh-6446203/
lifestyle," June 3, 2020  10:30:37 pm",Use leftover bread for this easy eggless apple crumble tonight,https://indianexpress.com/article/lifestyle/food-wine/easy-eggless-desserts-recipes-apple-crumble-anahita-dhondy-leftover-bread-6440808/
lifestyle," June 3, 2020  9:40:47 pm","DIY body scrubs for dull, oily and sensitive skin",https://indianexpress.com/article/lifestyle/life-style/diy-body-scrub-for-dull-oily-and-sensitive-skin-6440824/
lifestyle," June 3, 2020  8:50:39 pm",Delay in social distancing norms could extend duration of COVID-19 spread,https://indianexpress.com/article/lifestyle/health/delay-social-distancing-norms-could-extend-duration-of-covid-19-6441071/
lifestyle," June 3, 2020  8:00:58 pm",The Back Burner: Two sweet-sour summer drinks,https://indianexpress.com/article/lifestyle/food-wine/the-back-burner-two-sweet-sour-summer-drinks-aam-pora-sharbat-tamarind-drink-recipe-6441116/
lifestyle," June 3, 2020  7:10:05 pm",Why it’s worth using a facial steamer for glowing skin,https://indianexpress.com/article/lifestyle/life-style/why-its-worth-using-a-facial-steamer-6440548/
lifestyle," June 5, 2020  2:44:14 pm",Beauty in lockdown: Three women in their 20s share why skincare is important to them,https://indianexpress.com/article/lifestyle/life-style/beauty-in-lockdown-3-women-in-their-early-20s-share-why-skincare-is-important-to-them-6437427/
lifestyle," June 3, 2020  5:31:25 pm",Protect your health after a cyclone with these tips,https://indianexpress.com/article/lifestyle/life-style/cyclone-nisarga-how-to-prevent-illness-precautions-6440588/
sports," June 6, 2020  10:04:50 pm",‘ICC should allow more substitutes for players requiring hospital visits’: Michael Atherton,https://indianexpress.com/article/sports/cricket/michael-atherton-icc-substitutes-hospital-visits-6446253/
sports," June 6, 2020  9:54:06 pm",Manchester City’s court appeal to UEFA ban shrouded in cloak of secrecy,https://indianexpress.com/article/sports/football/manchester-city-uefa-ban-court-appeal-secrecy-6446234/
sports," June 6, 2020  9:41:49 pm","‘Body in zombie mode, will need 4 weeks to achieve match fitness’: Dinesh Karthik",https://indianexpress.com/article/sports/cricket/body-is-in-zombie-mode-will-need-minimum-4-weeks-to-achieve-match-fitness-dinesh-karthik-6446184/
sports," June 6, 2020  8:49:57 pm",UAE cricket board confirms offer to host IPL: Report,https://indianexpress.com/article/sports/ipl/uae-cricket-board-confirms-offer-to-host-ipl-report-6446143/
sports," June 6, 2020  7:45:53 pm","‘Players will have to start running, skillwork at home state grounds’: Bharat Arun",https://indianexpress.com/article/sports/cricket/bharat-arun-players-running-skillwork-home-state-grounds-6446097/
sports," June 6, 2020  7:10:27 pm","Brescia to terminate Mario Balotelli’s contract for missing training, claim reports",https://indianexpress.com/article/sports/football/mario-balotelli-brescia-contract-terminated-training-6445959/
sports," June 6, 2020  4:35:45 pm","‘I’m not short-tempered, it’s just passion’: Kagiso Rabada",https://indianexpress.com/article/sports/cricket/kagiso-rabada-not-short-tempered-just-passion-6445872/
sports," June 7, 2020  11:49:30 am",‘Finally good to be coming home’: Vishwanathan Anand after completing quarantine in Bangalore,https://indianexpress.com/article/sports/chess/vishwanathan-anand-coming-home-bangalore-quarantine-6445822/
